temporada,hora,equipo,rival,condicion,goles_valencia,goles_rival,resultado_valencia,puntos,diferencia_goles,goles_descanso_valencia,goles_descanso_rival,resultado_descanso,fecha,anio,mes,dia_semana,semana_anio,temporada_id,temporada_num,franja,puntos_posibles,efectividad_puntos,resultado_num,victoria_bin,empate_bin,derrota_bin,local_bin,goles_totales,puntos_rolling_5,ventaja_descanso,remonto,remontado,partido_id,decada,competicion,jornada_num,fase_temporada
1994-1995,,Valencia,La Coruna,Local,1.0,2.0,D,0,-1.0,,,,1995-04-01,1995,4,Sábado,13,1994,2,,3,0.0,-1,0,0,1,1,3.0,7.0,,,,1994-1995_1995-04-01_LACORUNA_L,1990s,LaLiga,27,2
1994-1995,,Valencia,Celta,Visitante,0.0,0.0,E,1,0.0,,,,1995-04-09,1995,4,Domingo,14,1994,2,,3,0.3333333333333333,0,0,1,0,0,0.0,5.0,,,,1994-1995_1995-04-09_CELTA_V,1990s,LaLiga,28,2
1994-1995,,Valencia,Betis,Local,2.0,1.0,V,3,1.0,,,,1995-04-16,1995,4,Domingo,15,1994,2,,3,1.0,1,1,0,0,1,3.0,8.0,,,,1994-1995_1995-04-16_BETIS_L,1990s,LaLiga,29,2
1994-1995,,Valencia,Real Madrid,Visitante,1.0,3.0,D,0,-2.0,,,,1995-04-22,1995,4,Sábado,16,1994,2,,3,0.0,-1,0,0,1,0,4.0,5.0,,,,1994-1995_1995-04-22_REALMADRID_V,1990s,LaLiga,30,2
1994-1995,,Valencia,Logrones,Local,3.0,0.0,V,3,3.0,,,,1995-04-30,1995,4,Domingo,17,1994,2,,3,1.0,1,1,0,0,1,3.0,7.0,,,,1994-1995_1995-04-30_LOGRONES_L,1990s,LaLiga,31,2
1994-1995,,Valencia,Albacete,Visitante,0.0,1.0,D,0,-1.0,,,,1995-05-07,1995,5,Domingo,18,1994,2,,3,0.0,-1,0,0,1,0,1.0,7.0,,,,1994-1995_1995-05-07_ALBACETE_V,1990s,LaLiga,32,2
1994-1995,,Valencia,Ath Bilbao,Local,3.0,1.0,V,3,2.0,,,,1995-05-13,1995,5,Sábado,19,1994,2,,3,1.0,1,1,0,0,1,4.0,9.0,,,,1994-1995_1995-05-13_ATHBILBAO_L,1990s,LaLiga,33,2
1994-1995,,Valencia,Sp Gijon,Visitante,0.0,1.0,D,0,-1.0,,,,1995-05-21,1995,5,Domingo,20,1994,2,,3,0.0,-1,0,0,1,0,1.0,6.0,,,,1994-1995_1995-05-21_SPGIJON_V,1990s,LaLiga,34,2
1994-1995,,Valencia,Santander,Local,1.0,1.0,E,1,0.0,,,,1995-05-27,1995,5,Sábado,21,1994,2,,3,0.3333333333333333,0,0,1,0,1,2.0,7.0,,,,1994-1995_1995-05-27_SANTANDER_L,1990s,LaLiga,35,2
1994-1995,,Valencia,Espanol,Visitante,0.0,5.0,D,0,-5.0,,,,1995-06-03,1995,6,Sábado,22,1994,2,,3,0.0,-1,0,0,1,0,5.0,4.0,,,,1994-1995_1995-06-03_ESPANOL_V,1990s,LaLiga,36,2
1994-1995,,Valencia,Compostela,Local,4.0,1.0,V,3,3.0,,,,1995-06-10,1995,6,Sábado,23,1994,2,,3,1.0,1,1,0,0,1,5.0,7.0,,,,1994-1995_1995-06-10_COMPOSTELA_L,1990s,LaLiga,37,2
1994-1995,,Valencia,Zaragoza,Visitante,2.0,2.0,E,1,0.0,,,,1995-06-18,1995,6,Domingo,24,1994,2,,3,0.3333333333333333,0,0,1,0,0,4.0,5.0,,,,1994-1995_1995-06-18_ZARAGOZA_V,1990s,LaLiga,38,2
1995-1996,,Valencia,La Coruna,Visitante,0.0,3.0,D,0,-3.0,0.0,2.0,D,1995-09-02,1995,9,Sábado,35,1995,3,,3,0.0,-1,0,0,1,0,3.0,0.0,-2.0,0.0,0.0,1995-1996_1995-09-02_LACORUNA_V,1990s,LaLiga,1,1
1995-1996,,Valencia,Valladolid,Local,1.0,0.0,V,3,1.0,0.0,0.0,E,1995-09-10,1995,9,Domingo,36,1995,3,,3,1.0,1,1,0,0,1,1.0,3.0,0.0,0.0,0.0,1995-1996_1995-09-10_VALLADOLID_L,1990s,LaLiga,2,1
1995-1996,,Valencia,Merida,Visitante,2.0,0.0,V,3,2.0,0.0,0.0,E,1995-09-17,1995,9,Domingo,37,1995,3,,3,1.0,1,1,0,0,0,2.0,6.0,0.0,0.0,0.0,1995-1996_1995-09-17_MERIDA_V,1990s,LaLiga,3,1
1995-1996,,Valencia,Zaragoza,Local,0.0,0.0,E,1,0.0,0.0,0.0,E,1995-09-24,1995,9,Domingo,38,1995,3,,3,0.3333333333333333,0,0,1,0,1,0.0,7.0,0.0,0.0,0.0,1995-1996_1995-09-24_ZARAGOZA_L,1990s,LaLiga,4,1
1995-1996,,Valencia,Vallecano,Visitante,2.0,3.0,D,0,-1.0,0.0,0.0,E,1995-10-01,1995,10,Domingo,39,1995,3,,3,0.0,-1,0,0,1,0,5.0,7.0,0.0,0.0,0.0,1995-1996_1995-10-01_VALLECANO_V,1990s,LaLiga,5,1
1995-1996,,Valencia,Real Madrid,Local,4.0,3.0,V,3,1.0,3.0,0.0,V,1995-10-04,1995,10,Miércoles,40,1995,3,,3,1.0,1,1,0,0,1,7.0,10.0,3.0,0.0,0.0,1995-1996_1995-10-04_REALMADRID_L,1990s,LaLiga,6,1
1995-1996,,Valencia,Oviedo,Visitante,1.0,0.0,V,3,1.0,0.0,0.0,E,1995-10-08,1995,10,Domingo,40,1995,3,,3,1.0,1,1,0,0,0,1.0,10.0,0.0,0.0,0.0,1995-1996_1995-10-08_OVIEDO_V,1990s,LaLiga,7,1
1995-1996,,Valencia,Betis,Local,1.0,1.0,E,1,0.0,1.0,1.0,E,1995-10-14,1995,10,Sábado,41,1995,3,,3,0.3333333333333333,0,0,1,0,1,2.0,8.0,0.0,0.0,0.0,1995-1996_1995-10-14_BETIS_L,1990s,LaLiga,8,1
1995-1996,,Valencia,Barcelona,Visitante,0.0,1.0,D,0,-1.0,0.0,0.0,E,1995-10-22,1995,10,Domingo,42,1995,3,,3,0.0,-1,0,0,1,0,1.0,7.0,0.0,0.0,0.0,1995-1996_1995-10-22_BARCELONA_V,1990s,LaLiga,9,1
1995-1996,,Valencia,Ath Bilbao,Local,3.0,1.0,V,3,2.0,2.0,0.0,V,1995-10-29,1995,10,Domingo,43,1995,3,,3,1.0,1,1,0,0,1,4.0,10.0,2.0,0.0,0.0,1995-1996_1995-10-29_ATHBILBAO_L,1990s,LaLiga,10,1
1995-1996,,Valencia,Compostela,Local,5.0,2.0,V,3,3.0,2.0,1.0,V,1995-11-05,1995,11,Domingo,44,1995,3,,3,1.0,1,1,0,0,1,7.0,10.0,1.0,0.0,0.0,1995-1996_1995-11-05_COMPOSTELA_L,1990s,LaLiga,11,1
1995-1996,,Valencia,Salamanca,Visitante,0.0,4.0,D,0,-4.0,0.0,2.0,D,1995-11-12,1995,11,Domingo,45,1995,3,,3,0.0,-1,0,0,1,0,4.0,7.0,-2.0,0.0,0.0,1995-1996_1995-11-12_SALAMANCA_V,1990s,LaLiga,12,1
